student_dim_id,sis_user_id,student_label,grade_level,attendance_category,course_id,course_name,course_track,section_id,section_label,teacher_id,teacher_label,assignment_01_score,assignment_02_score,observed_growth_delta,modeled_assignment_02_growth_delta,posterior_readiness_after_assignment_02,assignment_02_generation_mode,academic_profile_status
115,SYN-SIS-000115,Synthetic Student 115,10,high,MATH-ALG1,Algebra 1,regular,SEC-001,Algebra 1 - Synthetic Section 01,TCH-001,Teacher 01,85.69,83.92,-1.77,-1.77,78.1593,growth_from_assignment_01,updated_assignment_02
254,SYN-SIS-000254,Synthetic Student 254,10,normal,MATH-ALG1,Algebra 1,regular,SEC-002,Algebra 1 - Synthetic Section 02,TCH-001,Teacher 01,24.34,29.15,4.81,4.81,31.8881,growth_from_assignment_01,updated_assignment_02
2,SYN-SIS-000002,Synthetic Student 002,10,normal,MATH-ALG2,Algebra 2,regular,SEC-010,Algebra 2 - Synthetic Section 10,TCH-002,Teacher 02,44.94,46.08,1.14,1.14,46.191,growth_from_assignment_01,updated_assignment_02
14,SYN-SIS-000014,Synthetic Student 014,10,high,MATH-ALG2,Algebra 2,regular,SEC-009,Algebra 2 - Synthetic Section 09,TCH-002,Teacher 02,44.38,0,,,,absent_no_update,initialized_assignment_01
23,SYN-SIS-000023,Synthetic Student 023,10,high,MATH-ALG2,Algebra 2,regular,SEC-009,Algebra 2 - Synthetic Section 09,TCH-002,Teacher 02,86.87,82.05,-4.82000000000001,-4.82,76.5794,growth_from_assignment_01,updated_assignment_02
33,SYN-SIS-000033,Synthetic Student 033,10,high,MATH-ALG2,Algebra 2,regular,SEC-009,Algebra 2 - Synthetic Section 09,TCH-002,Teacher 02,49.43,58.47,9.04,9.04,56.6584,growth_from_assignment_01,updated_assignment_02
59,SYN-SIS-000059,Synthetic Student 059,10,high,MATH-ALG2,Algebra 2,regular,SEC-009,Algebra 2 - Synthetic Section 09,TCH-002,Teacher 02,16.13,24.87,8.74,8.74,28.2722,growth_from_assignment_01,updated_assignment_02
61,SYN-SIS-000061,Synthetic Student 061,10,normal,MATH-ALG2,Algebra 2,regular,SEC-009,Algebra 2 - Synthetic Section 09,TCH-002,Teacher 02,30.27,30.96,0.690000000000001,0.69,33.4172,growth_from_assignment_01,updated_assignment_02
66,SYN-SIS-000066,Synthetic Student 066,10,high,MATH-ALG2,Algebra 2,regular,SEC-009,Algebra 2 - Synthetic Section 09,TCH-002,Teacher 02,43.33,46.96,3.63,3.63,46.9344,growth_from_assignment_01,updated_assignment_02
69,SYN-SIS-000069,Synthetic Student 069,10,high,MATH-ALG2,Algebra 2,regular,SEC-009,Algebra 2 - Synthetic Section 09,TCH-002,Teacher 02,76.96,71.12,-5.83999999999999,-5.84,67.3455,growth_from_assignment_01,updated_assignment_02
76,SYN-SIS-000076,Synthetic Student 076,10,high,MATH-ALG2,Algebra 2,regular,SEC-010,Algebra 2 - Synthetic Section 10,TCH-002,Teacher 02,38.76,49.73,10.97,10.97,49.2746,growth_from_assignment_01,updated_assignment_02
79,SYN-SIS-000079,Synthetic Student 079,10,high,MATH-ALG2,Algebra 2,regular,SEC-009,Algebra 2 - Synthetic Section 09,TCH-002,Teacher 02,70.98,67.79,-3.19,-3.19,64.5322,growth_from_assignment_01,updated_assignment_02
87,SYN-SIS-000087,Synthetic Student 087,10,high,MATH-ALG2,Algebra 2,regular,SEC-010,Algebra 2 - Synthetic Section 10,TCH-002,Teacher 02,41.3,44.93,3.63,3.63,45.2194,growth_from_assignment_01,updated_assignment_02
88,SYN-SIS-000088,Synthetic Student 088,10,high,MATH-ALG2,Algebra 2,regular,SEC-009,Algebra 2 - Synthetic Section 09,TCH-002,Teacher 02,66.37,58.11,-8.26000000000001,-8.26,56.3543,growth_from_assignment_01,updated_assignment_02
91,SYN-SIS-000091,Synthetic Student 091,10,high,MATH-ALG2,Algebra 2,regular,SEC-010,Algebra 2 - Synthetic Section 10,TCH-002,Teacher 02,75.51,74.28,-1.23,-1.23,70.0151,growth_from_assignment_01,updated_assignment_02
97,SYN-SIS-000097,Synthetic Student 097,10,normal,MATH-ALG2,Algebra 2,regular,SEC-010,Algebra 2 - Synthetic Section 10,TCH-002,Teacher 02,89.82,86.25,-3.56999999999999,-3.57,80.1277,growth_from_assignment_01,updated_assignment_02
121,SYN-SIS-000121,Synthetic Student 121,10,normal,MATH-ALG2,Algebra 2,regular,SEC-010,Algebra 2 - Synthetic Section 10,TCH-002,Teacher 02,28.8,37.11,8.31,8.31,38.6129,growth_from_assignment_01,updated_assignment_02
134,SYN-SIS-000134,Synthetic Student 134,10,at_risk,MATH-ALG2,Algebra 2,regular,SEC-010,Algebra 2 - Synthetic Section 10,TCH-002,Teacher 02,50.59,57.76,7.16999999999999,7.17,56.0586,growth_from_assignment_01,updated_assignment_02
140,SYN-SIS-000140,Synthetic Student 140,10,normal,MATH-ALG2,Algebra 2,regular,SEC-009,Algebra 2 - Synthetic Section 09,TCH-002,Teacher 02,32.99,48.46,15.47,15.47,48.2017,growth_from_assignment_01,updated_assignment_02
164,SYN-SIS-000164,Synthetic Student 164,10,at_risk,MATH-ALG2,Algebra 2,regular,SEC-010,Algebra 2 - Synthetic Section 10,TCH-002,Teacher 02,68.82,0,,,,absent_no_update,initialized_assignment_01
189,SYN-SIS-000189,Synthetic Student 189,10,high,MATH-ALG2,Algebra 2,regular,SEC-010,Algebra 2 - Synthetic Section 10,TCH-002,Teacher 02,55.89,61.03,5.14,5.14,58.8212,growth_from_assignment_01,updated_assignment_02
234,SYN-SIS-000234,Synthetic Student 234,10,normal,MATH-ALG2,Algebra 2,regular,SEC-009,Algebra 2 - Synthetic Section 09,TCH-002,Teacher 02,39.95,0,,,,absent_no_update,initialized_assignment_01
235,SYN-SIS-000235,Synthetic Student 235,10,normal,MATH-ALG2,Algebra 2,regular,SEC-010,Algebra 2 - Synthetic Section 10,TCH-002,Teacher 02,19.2,0,,,,absent_no_update,initialized_assignment_01
242,SYN-SIS-000242,Synthetic Student 242,10,high,MATH-ALG2,Algebra 2,regular,SEC-010,Algebra 2 - Synthetic Section 10,TCH-002,Teacher 02,33.04,47.88,14.84,14.84,47.7117,growth_from_assignment_01,updated_assignment_02
244,SYN-SIS-000244,Synthetic Student 244,10,normal,MATH-ALG2,Algebra 2,regular,SEC-009,Algebra 2 - Synthetic Section 09,TCH-002,Teacher 02,75.84,74.31,-1.53,-1.53,70.0405,growth_from_assignment_01,updated_assignment_02
249,SYN-SIS-000249,Synthetic Student 249,10,normal,MATH-ALG2,Algebra 2,regular,SEC-009,Algebra 2 - Synthetic Section 09,TCH-002,Teacher 02,71.19,67.35,-3.84,-3.84,64.1605,growth_from_assignment_01,updated_assignment_02
13,SYN-SIS-000013,Synthetic Student 013,10,high,MATH-ALG2-H,Honors Algebra 2,honors,SEC-014,Honors Algebra 2 - Synthetic Section 14,TCH-003,Teacher 03,63.33,68.87,5.54000000000001,5.54,66.0653,growth_from_assignment_01,updated_assignment_02
27,SYN-SIS-000027,Synthetic Student 027,10,high,MATH-ALG2-H,Honors Algebra 2,honors,SEC-013,Honors Algebra 2 - Synthetic Section 13,TCH-003,Teacher 03,69.32,78.79,9.47000000000001,9.47,74.446,growth_from_assignment_01,updated_assignment_02
94,SYN-SIS-000094,Synthetic Student 094,10,high,MATH-ALG2-H,Honors Algebra 2,honors,SEC-012,Honors Algebra 2 - Synthetic Section 12,TCH-003,Teacher 03,44.12,51.11,6.99,6.99,51.0612,growth_from_assignment_01,updated_assignment_02
98,SYN-SIS-000098,Synthetic Student 098,10,high,MATH-ALG2-H,Honors Algebra 2,honors,SEC-011,Honors Algebra 2 - Synthetic Section 11,TCH-003,Teacher 03,19.08,31.64,12.56,12.56,34.6124,growth_from_assignment_01,updated_assignment_02
109,SYN-SIS-000109,Synthetic Student 109,10,high,MATH-ALG2-H,Honors Algebra 2,honors,SEC-011,Honors Algebra 2 - Synthetic Section 11,TCH-003,Teacher 03,70.02,76.1,6.08,6.08,72.1734,growth_from_assignment_01,updated_assignment_02
120,SYN-SIS-000120,Synthetic Student 120,10,high,MATH-ALG2-H,Honors Algebra 2,honors,SEC-012,Honors Algebra 2 - Synthetic Section 12,TCH-003,Teacher 03,40.57,48.38,7.81,7.81,48.7548,growth_from_assignment_01,updated_assignment_02
148,SYN-SIS-000148,Synthetic Student 148,10,high,MATH-ALG2-H,Honors Algebra 2,honors,SEC-013,Honors Algebra 2 - Synthetic Section 13,TCH-003,Teacher 03,84.38,82.91,-1.47,-1.47,77.9267,growth_from_assignment_01,updated_assignment_02
155,SYN-SIS-000155,Synthetic Student 155,10,normal,MATH-ALG2-H,Honors Algebra 2,honors,SEC-011,Honors Algebra 2 - Synthetic Section 11,TCH-003,Teacher 03,73.62,72.51,-1.11,-1.11,69.1405,growth_from_assignment_01,updated_assignment_02
159,SYN-SIS-000159,Synthetic Student 159,10,high,MATH-ALG2-H,Honors Algebra 2,honors,SEC-012,Honors Algebra 2 - Synthetic Section 12,TCH-003,Teacher 03,33.73,42.88,9.15000000000001,9.15,44.1082,growth_from_assignment_01,updated_assignment_02
174,SYN-SIS-000174,Synthetic Student 174,10,normal,MATH-ALG2-H,Honors Algebra 2,honors,SEC-013,Honors Algebra 2 - Synthetic Section 13,TCH-003,Teacher 03,67.4,63.56,-3.84,-3.84,61.5793,growth_from_assignment_01,updated_assignment_02
181,SYN-SIS-000181,Synthetic Student 181,10,high,MATH-ALG2-H,Honors Algebra 2,honors,SEC-013,Honors Algebra 2 - Synthetic Section 13,TCH-003,Teacher 03,39.24,46.6,7.36,7.36,47.251,growth_from_assignment_01,updated_assignment_02
202,SYN-SIS-000202,Synthetic Student 202,10,normal,MATH-ALG2-H,Honors Algebra 2,honors,SEC-014,Honors Algebra 2 - Synthetic Section 14,TCH-003,Teacher 03,20.39,40.06,19.67,19.67,41.7258,growth_from_assignment_01,updated_assignment_02
230,SYN-SIS-000230,Synthetic Student 230,10,high,MATH-ALG2-H,Honors Algebra 2,honors,SEC-014,Honors Algebra 2 - Synthetic Section 14,TCH-003,Teacher 03,89.2,88,-1.2,-1.2,82.2269,growth_from_assignment_01,updated_assignment_02
237,SYN-SIS-000237,Synthetic Student 237,10,high,MATH-ALG2-H,Honors Algebra 2,honors,SEC-014,Honors Algebra 2 - Synthetic Section 14,TCH-003,Teacher 03,91.23,89.13,-2.10000000000001,-2.1,83.1815,growth_from_assignment_01,updated_assignment_02
238,SYN-SIS-000238,Synthetic Student 238,10,high,MATH-ALG2-H,Honors Algebra 2,honors,SEC-012,Honors Algebra 2 - Synthetic Section 12,TCH-003,Teacher 03,84.19,81.58,-2.61,-2.61,76.8031,growth_from_assignment_01,updated_assignment_02
241,SYN-SIS-000241,Synthetic Student 241,10,normal,MATH-ALG2-H,Honors Algebra 2,honors,SEC-014,Honors Algebra 2 - Synthetic Section 14,TCH-003,Teacher 03,74.44,78.07,3.63,3.63,73.8377,growth_from_assignment_01,updated_assignment_02
257,SYN-SIS-000257,Synthetic Student 257,10,high,MATH-ALG2-H,Honors Algebra 2,honors,SEC-012,Honors Algebra 2 - Synthetic Section 12,TCH-003,Teacher 03,25.67,39.12,13.45,13.45,40.9317,growth_from_assignment_01,updated_assignment_02
26,SYN-SIS-000026,Synthetic Student 026,10,high,MATH-AP-CALC-AB,AP Calculus AB,ap,SEC-022,AP Calculus AB - Synthetic Section 22,TCH-005,Teacher 05,50.09,50.88,0.789999999999999,0.79,51.1772,growth_from_assignment_01,updated_assignment_02
67,SYN-SIS-000067,Synthetic Student 067,10,at_risk,MATH-AP-CALC-AB,AP Calculus AB,ap,SEC-023,AP Calculus AB - Synthetic Section 23,TCH-005,Teacher 05,31.13,0,,,,absent_no_update,initialized_assignment_01
183,SYN-SIS-000183,Synthetic Student 183,10,normal,MATH-AP-CALC-AB,AP Calculus AB,ap,SEC-021,AP Calculus AB - Synthetic Section 21,TCH-005,Teacher 05,40.66,47.93,7.27,7.27,48.685,growth_from_assignment_01,updated_assignment_02
28,SYN-SIS-000028,Synthetic Student 028,10,normal,MATH-AP-PRECALC,AP Precalculus,ap,SEC-017,AP Precalculus - Synthetic Section 17,TCH-004,Teacher 04,78.08,79.63,1.55,1.55,75.466,growth_from_assignment_01,updated_assignment_02
73,SYN-SIS-000073,Synthetic Student 073,10,high,MATH-AP-PRECALC,AP Precalculus,ap,SEC-019,AP Precalculus - Synthetic Section 19,TCH-004,Teacher 04,59.42,67.54,8.12,8.12,65.252,growth_from_assignment_01,updated_assignment_02
78,SYN-SIS-000078,Synthetic Student 078,10,normal,MATH-AP-PRECALC,AP Precalculus,ap,SEC-019,AP Precalculus - Synthetic Section 19,TCH-004,Teacher 04,70.73,72.52,1.78999999999999,1.79,69.4593,growth_from_assignment_01,updated_assignment_02
80,SYN-SIS-000080,Synthetic Student 080,10,normal,MATH-AP-PRECALC,AP Precalculus,ap,SEC-019,AP Precalculus - Synthetic Section 19,TCH-004,Teacher 04,0,69.77,,,67.136,first_evidence_assignment_02,initialized_assignment_02
123,SYN-SIS-000123,Synthetic Student 123,10,normal,MATH-AP-PRECALC,AP Precalculus,ap,SEC-018,AP Precalculus - Synthetic Section 18,TCH-004,Teacher 04,42.04,54.14,12.1,12.1,53.9313,growth_from_assignment_01,updated_assignment_02
152,SYN-SIS-000152,Synthetic Student 152,10,high,MATH-AP-PRECALC,AP Precalculus,ap,SEC-017,AP Precalculus - Synthetic Section 17,TCH-004,Teacher 04,42.17,49.34,7.17,7.17,49.8762,growth_from_assignment_01,updated_assignment_02
176,SYN-SIS-000176,Synthetic Student 176,10,normal,MATH-AP-PRECALC,AP Precalculus,ap,SEC-019,AP Precalculus - Synthetic Section 19,TCH-004,Teacher 04,38.56,47.28,8.72,8.72,48.1358,growth_from_assignment_01,updated_assignment_02
201,SYN-SIS-000201,Synthetic Student 201,10,high,MATH-AP-PRECALC,AP Precalculus,ap,SEC-018,AP Precalculus - Synthetic Section 18,TCH-004,Teacher 04,14.15,33.91,19.76,19.76,36.8405,growth_from_assignment_01,updated_assignment_02
240,SYN-SIS-000240,Synthetic Student 240,10,high,MATH-AP-PRECALC,AP Precalculus,ap,SEC-018,AP Precalculus - Synthetic Section 18,TCH-004,Teacher 04,92.45,90.12,-2.33,-2.33,84.3282,growth_from_assignment_01,updated_assignment_02
258,SYN-SIS-000258,Synthetic Student 258,10,normal,MATH-AP-PRECALC,AP Precalculus,ap,SEC-018,AP Precalculus - Synthetic Section 18,TCH-004,Teacher 04,36.89,44.14,7.25,7.25,45.4831,growth_from_assignment_01,updated_assignment_02
259,SYN-SIS-000259,Synthetic Student 259,10,high,MATH-AP-PRECALC,AP Precalculus,ap,SEC-017,AP Precalculus - Synthetic Section 17,TCH-004,Teacher 04,38.97,51.53,12.56,12.56,51.7263,growth_from_assignment_01,updated_assignment_02
18,SYN-SIS-000018,Synthetic Student 018,10,high,MATH-GEOM,Geometry,regular,SEC-008,Geometry - Synthetic Section 08,TCH-002,Teacher 02,61.66,66.32,4.66,4.66,63.2903,growth_from_assignment_01,updated_assignment_02
30,SYN-SIS-000030,Synthetic Student 030,10,at_risk,MATH-GEOM,Geometry,regular,SEC-008,Geometry - Synthetic Section 08,TCH-002,Teacher 02,20.57,0,,,,absent_no_update,initialized_assignment_01
52,SYN-SIS-000052,Synthetic Student 052,10,high,MATH-GEOM,Geometry,regular,SEC-006,Geometry - Synthetic Section 06,TCH-002,Teacher 02,0,72.51,,,68.5198,first_evidence_assignment_02,initialized_assignment_02
63,SYN-SIS-000063,Synthetic Student 063,10,normal,MATH-GEOM,Geometry,regular,SEC-007,Geometry - Synthetic Section 07,TCH-002,Teacher 02,29.15,42.92,13.77,13.77,43.5213,growth_from_assignment_01,updated_assignment_02
110,SYN-SIS-000110,Synthetic Student 110,10,high,MATH-GEOM,Geometry,regular,SEC-004,Geometry - Synthetic Section 04,TCH-001,Teacher 01,21.51,34.49,12.98,12.98,36.3994,growth_from_assignment_01,updated_assignment_02
122,SYN-SIS-000122,Synthetic Student 122,10,normal,MATH-GEOM,Geometry,regular,SEC-004,Geometry - Synthetic Section 04,TCH-001,Teacher 01,39.27,46.43,7.16,7.16,46.4867,growth_from_assignment_01,updated_assignment_02
128,SYN-SIS-000128,Synthetic Student 128,10,normal,MATH-GEOM,Geometry,regular,SEC-008,Geometry - Synthetic Section 08,TCH-002,Teacher 02,46.07,52.58,6.51,6.51,51.6824,growth_from_assignment_01,updated_assignment_02
145,SYN-SIS-000145,Synthetic Student 145,10,normal,MATH-GEOM,Geometry,regular,SEC-008,Geometry - Synthetic Section 08,TCH-002,Teacher 02,0,45.38,,,45.5996,first_evidence_assignment_02,initialized_assignment_02
165,SYN-SIS-000165,Synthetic Student 165,10,high,MATH-GEOM,Geometry,regular,SEC-005,Geometry - Synthetic Section 05,TCH-001,Teacher 01,30.86,40.63,9.77,9.77,41.5867,growth_from_assignment_01,updated_assignment_02
188,SYN-SIS-000188,Synthetic Student 188,10,high,MATH-GEOM,Geometry,regular,SEC-007,Geometry - Synthetic Section 07,TCH-002,Teacher 02,45.98,47.98,2,2,47.7962,growth_from_assignment_01,updated_assignment_02
198,SYN-SIS-000198,Synthetic Student 198,10,normal,MATH-GEOM,Geometry,regular,SEC-005,Geometry - Synthetic Section 05,TCH-001,Teacher 01,55.66,58.31,2.65000000000001,2.65,56.5232,growth_from_assignment_01,updated_assignment_02
212,SYN-SIS-000212,Synthetic Student 212,10,normal,MATH-GEOM,Geometry,regular,SEC-008,Geometry - Synthetic Section 08,TCH-002,Teacher 02,13.76,22.38,8.62,8.62,26.1686,growth_from_assignment_01,updated_assignment_02
253,SYN-SIS-000253,Synthetic Student 253,10,high,MATH-GEOM,Geometry,regular,SEC-006,Geometry - Synthetic Section 06,TCH-002,Teacher 02,49.54,54.21,4.67,4.67,53.0594,growth_from_assignment_01,updated_assignment_02
266,SYN-SIS-000266,Synthetic Student 266,10,high,MATH-GEOM,Geometry,regular,SEC-006,Geometry - Synthetic Section 06,TCH-002,Teacher 02,34.66,39.57,4.91,4.91,40.6912,growth_from_assignment_01,updated_assignment_02
267,SYN-SIS-000267,Synthetic Student 267,10,normal,MATH-GEOM,Geometry,regular,SEC-004,Geometry - Synthetic Section 04,TCH-001,Teacher 01,58.21,63.26,5.05,5.05,60.7051,growth_from_assignment_01,updated_assignment_02
273,SYN-SIS-000273,Synthetic Student 273,10,at_risk,MATH-GEOM,Geometry,regular,SEC-006,Geometry - Synthetic Section 06,TCH-002,Teacher 02,15.35,0,,,,absent_no_update,initialized_assignment_01
278,SYN-SIS-000278,Synthetic Student 278,10,normal,MATH-GEOM,Geometry,regular,SEC-006,Geometry - Synthetic Section 06,TCH-002,Teacher 02,13.76,30.35,16.59,16.59,32.9019,growth_from_assignment_01,updated_assignment_02
132,SYN-SIS-000132,Synthetic Student 132,10,high,MATH-PRECALC,Precalculus,regular,SEC-015,Precalculus - Synthetic Section 15,TCH-003,Teacher 03,49.62,52.46,2.84,2.84,51.581,growth_from_assignment_01,updated_assignment_02
197,SYN-SIS-000197,Synthetic Student 197,10,high,MATH-PRECALC,Precalculus,regular,SEC-016,Precalculus - Synthetic Section 16,TCH-004,Teacher 04,60.08,66.1,6.02,6.02,63.1044,growth_from_assignment_01,updated_assignment_02
3,SYN-SIS-000003,Synthetic Student 003,11,normal,MATH-ALG2,Algebra 2,regular,SEC-010,Algebra 2 - Synthetic Section 10,TCH-002,Teacher 02,53.34,58.55,5.20999999999999,5.21,57.0046,growth_from_assignment_01,updated_assignment_02
4,SYN-SIS-000004,Synthetic Student 004,11,high,MATH-ALG2,Algebra 2,regular,SEC-009,Algebra 2 - Synthetic Section 09,TCH-002,Teacher 02,51.95,63.69,11.74,11.74,61.347,growth_from_assignment_01,updated_assignment_02
43,SYN-SIS-000043,Synthetic Student 043,11,high,MATH-ALG2,Algebra 2,regular,SEC-010,Algebra 2 - Synthetic Section 10,TCH-002,Teacher 02,12,29.7,17.7,17.7,32.6313,growth_from_assignment_01,updated_assignment_02
64,SYN-SIS-000064,Synthetic Student 064,11,high,MATH-ALG2,Algebra 2,regular,SEC-009,Algebra 2 - Synthetic Section 09,TCH-002,Teacher 02,71.3,70.66,-0.640000000000001,-0.64,67.2354,growth_from_assignment_01,updated_assignment_02
71,SYN-SIS-000071,Synthetic Student 071,11,normal,MATH-ALG2,Algebra 2,regular,SEC-010,Algebra 2 - Synthetic Section 10,TCH-002,Teacher 02,0,76.91,,,72.5156,first_evidence_assignment_02,initialized_assignment_02
133,SYN-SIS-000133,Synthetic Student 133,11,at_risk,MATH-ALG2,Algebra 2,regular,SEC-010,Algebra 2 - Synthetic Section 10,TCH-002,Teacher 02,0,0,,,,absent_no_update,pending_no_present_scores
191,SYN-SIS-000191,Synthetic Student 191,11,high,MATH-ALG2,Algebra 2,regular,SEC-009,Algebra 2 - Synthetic Section 09,TCH-002,Teacher 02,86.76,79.35,-7.41000000000001,-7.41,74.577,growth_from_assignment_01,updated_assignment_02
209,SYN-SIS-000209,Synthetic Student 209,11,high,MATH-ALG2,Algebra 2,regular,SEC-009,Algebra 2 - Synthetic Section 09,TCH-002,Teacher 02,39.11,43.22,4.11,4.11,44.0534,growth_from_assignment_01,updated_assignment_02
218,SYN-SIS-000218,Synthetic Student 218,11,normal,MATH-ALG2,Algebra 2,regular,SEC-010,Algebra 2 - Synthetic Section 10,TCH-002,Teacher 02,42.58,49.47,6.89,6.89,49.3335,growth_from_assignment_01,updated_assignment_02
229,SYN-SIS-000229,Synthetic Student 229,11,normal,MATH-ALG2,Algebra 2,regular,SEC-009,Algebra 2 - Synthetic Section 09,TCH-002,Teacher 02,46.78,50.25,3.47,3.47,49.9925,growth_from_assignment_01,updated_assignment_02
275,SYN-SIS-000275,Synthetic Student 275,11,normal,MATH-ALG2,Algebra 2,regular,SEC-010,Algebra 2 - Synthetic Section 10,TCH-002,Teacher 02,72.14,73.15,1.01000000000001,1.01,69.3391,growth_from_assignment_01,updated_assignment_02
90,SYN-SIS-000090,Synthetic Student 090,11,normal,MATH-ALG2-H,Honors Algebra 2,honors,SEC-012,Honors Algebra 2 - Synthetic Section 12,TCH-003,Teacher 03,0,52.41,,,52.438,first_evidence_assignment_02,initialized_assignment_02
108,SYN-SIS-000108,Synthetic Student 108,11,high,MATH-ALG2-H,Honors Algebra 2,honors,SEC-014,Honors Algebra 2 - Synthetic Section 14,TCH-003,Teacher 03,83.7,87.9,4.2,4.2,82.421,growth_from_assignment_01,updated_assignment_02
130,SYN-SIS-000130,Synthetic Student 130,11,normal,MATH-ALG2-H,Honors Algebra 2,honors,SEC-012,Honors Algebra 2 - Synthetic Section 12,TCH-003,Teacher 03,71.65,74.22,2.56999999999999,2.57,70.8637,growth_from_assignment_01,updated_assignment_02
135,SYN-SIS-000135,Synthetic Student 135,11,normal,MATH-ALG2-H,Honors Algebra 2,honors,SEC-013,Honors Algebra 2 - Synthetic Section 13,TCH-003,Teacher 03,31.72,41.3,9.58,9.58,43.052,growth_from_assignment_01,updated_assignment_02
154,SYN-SIS-000154,Synthetic Student 154,11,normal,MATH-ALG2-H,Honors Algebra 2,honors,SEC-011,Honors Algebra 2 - Synthetic Section 11,TCH-003,Teacher 03,33.76,41.08,7.32,7.32,42.8661,growth_from_assignment_01,updated_assignment_02
192,SYN-SIS-000192,Synthetic Student 192,11,high,MATH-ALG2-H,Honors Algebra 2,honors,SEC-011,Honors Algebra 2 - Synthetic Section 11,TCH-003,Teacher 03,62.58,65.64,3.06,3.06,63.6151,growth_from_assignment_01,updated_assignment_02
255,SYN-SIS-000255,Synthetic Student 255,11,normal,MATH-ALG2-H,Honors Algebra 2,honors,SEC-011,Honors Algebra 2 - Synthetic Section 11,TCH-003,Teacher 03,0,77.63,,,73.7446,first_evidence_assignment_02,initialized_assignment_02
